iter	RMSE
0	0.007027606844
1	0.006690691103
2	0.006367882732
3	0.006045293707
4	0.005828248303
5	0.005641044362
6	0.005413634902
7	0.005174343517
8	0.005033650585
9	0.004804732272
10	0.004664571479
11	0.004463272182
12	0.004310662422
13	0.004199385858
14	0.004024586952
15	0.003923434797
16	0.003848443483
17	0.003712179944
18	0.003626637215
19	0.003483342024
20	0.003422737369
21	0.003311683588
22	0.003239146977
23	0.003147073734
24	0.003074709672
25	0.003030846937
26	0.002957524159
27	0.002875926687
28	0.002816206348
29	0.002740876645
30	0.002682321409
31	0.002634582617
32	0.00258345822
33	0.002536844613
34	0.002465909465
35	0.002409559763
36	0.002357862558
37	0.002320426363
38	0.00228314757
39	0.002238141042
40	0.002186016957
41	0.00214231571
42	0.00209224341
43	0.002042351608
44	0.002008016445
45	0.001979998717
46	0.001937103831
47	0.001892065601
48	0.001844804818
49	0.001808868479
50	0.001774782697
51	0.001749327977
52	0.001730313637
53	0.001702262894
54	0.001668671925
55	0.001643575968
56	0.001609655332
57	0.001587591102
58	0.001568461237
59	0.001538795314
60	0.001506262183
61	0.001486012379
62	0.00145152411
63	0.001423572167
64	0.001397529944
65	0.00137848818
66	0.001359175908
67	0.001346759839
68	0.001331771459
69	0.001309842217
70	0.001291603883
71	0.001270768383
72	0.001257225895
73	0.001242477444
74	0.001232541952
75	0.001221049349
76	0.001208509911
77	0.00119297856
78	0.001175614642
79	0.001156857082
80	0.001149333857
81	0.00114273295
82	0.001125328323
83	0.001111886909
84	0.00109827555
85	0.001092827587
86	0.001079087731
87	0.001073754106
88	0.001060453407
89	0.001049318517
90	0.001042762775
91	0.001030358763
92	0.001020664434
93	0.001004766674
94	0.0009930348482
95	0.0009838531614
96	0.0009722272553
97	0.0009643894491
98	0.0009604961225
99	0.0009531495515
100	0.0009447655678
101	0.0009360932023
102	0.0009285331615
103	0.0009233513492
104	0.0009122951007
105	0.0009070033568
106	0.0009004376064
107	0.0008981897047
108	0.0008960698831
109	0.0008869372917
110	0.0008836590278
111	0.0008755325805
112	0.00086516276
113	0.0008586175834
114	0.0008496843816
115	0.0008443178238
116	0.0008374949301
117	0.0008316409627
118	0.0008259103049
119	0.0008179990085
120	0.0008154155977
121	0.0008104759865
122	0.0008066059814
123	0.0007976431149
124	0.0007933412291
125	0.0007859503351
126	0.0007813143536
127	0.0007765497914
128	0.0007728153434
129	0.0007712545342
130	0.0007641427742
131	0.0007616251531
132	0.0007560814042
133	0.0007481466727
134	0.0007426699798
135	0.0007378963584
136	0.0007336814749
137	0.0007294539231
138	0.0007270822348
