iter	Passed	Remaining
401	14495	35986
402	14532	35952
403	14567	35915
404	14603	35878
405	14638	35838
406	14674	35802
407	14710	35766
408	14746	35730
409	14782	35693
410	14817	35656
411	14852	35618
412	14890	35585
413	14926	35550
414	14961	35512
415	14996	35473
416	15033	35438
417	15068	35400
418	15105	35365
419	15141	35330
420	15177	35294
421	15214	35260
422	15250	35224
423	15286	35187
424	15322	35150
425	15358	35115
426	15395	35080
427	15430	35042
428	15465	35004
429	15501	34968
430	15537	34933
431	15572	34894
432	15609	34860
433	15647	34828
434	15682	34790
435	15718	34753
436	15755	34719
437	15791	34682
438	15826	34646
439	15862	34608
440	15898	34571
441	15934	34536
442	15969	34498
443	16004	34460
444	16040	34424
445	16074	34383
446	16110	34347
447	16147	34312
448	16182	34275
449	16219	34240
450	16255	34204
451	16290	34167
452	16326	34131
453	16364	34099
454	16402	34066
455	16438	34030
456	16474	33994
457	16510	33957
458	16545	33921
459	16582	33886
460	16618	33849
461	16652	33810
462	16689	33775
463	16723	33736
464	16758	33698
465	16793	33659
466	16830	33625
467	16866	33589
468	16903	33555
469	16939	33518
470	16975	33482
471	17012	33447
472	17048	33411
473	17084	33376
474	17120	33339
475	17155	33302
476	17192	33266
477	17228	33231
478	17264	33194
479	17301	33160
480	17335	33122
481	17371	33086
482	17408	33050
483	17443	33013
484	17479	32977
485	17516	32941
486	17550	32903
487	17588	32870
488	17626	32837
489	17662	32802
490	17700	32769
491	17736	32732
492	17772	32697
493	17809	32662
494	17844	32624
495	17879	32587
496	17917	32554
497	17953	32518
498	17989	32482
499	18025	32446
500	18060	32407
501	18095	32370
502	18132	32335
503	18167	32297
504	18205	32264
505	18241	32229
506	18277	32193
507	18314	32157
508	18351	32123
509	18387	32087
510	18423	32051
511	18459	32014
512	18493	31976
513	18533	31946
514	18570	31912
515	18606	31876
516	18642	31839
517	18677	31802
518	18713	31765
519	18748	31727
520	18784	31692
521	18819	31654
522	18855	31617
523	18891	31581
524	18926	31544
525	18962	31508
526	18999	31474
527	19036	31439
528	19073	31404
529	19109	31367
530	19145	31332
531	19181	31296
532	19218	31261
533	19254	31225
534	19290	31189
535	19325	31151
536	19362	31116
537	19397	31079
538	19434	31044
539	19469	31006
540	19504	30968
541	19540	30932
542	19576	30897
543	19613	30862
544	19648	30824
545	19686	30791
546	19718	30748
547	19755	30714
548	19792	30680
549	19829	30645
550	19867	30612
551	19902	30575
552	19937	30537
553	19973	30501
554	20009	30465
555	20045	30428
556	20081	30392
557	20116	30354
558	20150	30316
559	20188	30282
560	20225	30247
561	20262	30212
562	20299	30178
563	20335	30142
564	20371	30106
565	20408	30071
566	20444	30035
567	20480	29999
568	20516	29962
569	20552	29927
570	20589	29892
571	20624	29855
572	20660	29818
573	20697	29783
574	20733	29748
575	20769	29711
576	20805	29676
577	20840	29638
578	20877	29604
579	20912	29566
580	20949	29530
581	20985	29495
582	21022	29460
583	21058	29424
584	21095	29389
585	21131	29352
586	21166	29315
587	21203	29281
