i,x,exact,euler,euler_error,modified_euler,modified_euler_error,runge_kutta,runge_kutta_error
0,-1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
1,-0.6,3.4918246976412703,3.4000000000000004,0.09182469764126999,3.4800000000000004,0.011824697641269921,3.491733333333334,9.136430793654782e-05
2,-0.2,6.225540928492467,5.960000000000001,0.2655409284924666,6.1904,0.03514092849246708,6.225268337777779,0.00027259071468854756
3,0.2,9.320116922736547,8.744000000000002,0.5761169227365457,9.241792,0.07832492273654701,9.319506955074372,0.0006099676621751371
4,0.6,12.953032424395115,11.841600000000003,1.1114324243951117,12.79785216,0.15518026439511523,12.951819175116277,0.0012132492788374805
5,1.0,17.389056098930652,15.378240000000005,2.010816098930647,17.1008211968,0.28823490213065384,17.38679372416012,0.0022623747705310393
