k,x,a,b,c,d,U,V,y,residual
1,0.5,0.0,-10.0,10.0,1.0,1.0,-0.1,-11.917171717171685,-1.4210854715202004e-14
2,0.6,93.99999999999999,-198.99999999999997,105.99999999999999,1.0,1.0095238095238095,-0.09904761904761905,-11.817171717171686,-2.2737367544323206e-13
3,0.7,92.99999999999999,-198.99999999999997,106.99999999999999,1.0,1.0179396575156292,-0.09714596357705899,-11.607575757575727,0.0
4,0.8,-10.0,10.0,0.0,3.0,0.0,-11.307575757575728,-11.307575757575728,0.0
