iter	Passed	Remaining
422	2210	5106
423	2216	5101
424	2221	5097
425	2227	5092
426	2232	5086
427	2237	5081
428	2243	5076
429	2248	5072
430	2253	5066
431	2258	5060
432	2264	5056
433	2269	5051
434	2274	5045
435	2279	5040
436	2284	5035
437	2289	5029
438	2295	5024
439	2300	5019
440	2305	5014
441	2310	5008
442	2316	5003
443	2321	4998
444	2326	4992
445	2331	4987
446	2337	4982
447	2342	4977
448	2347	4971
449	2352	4966
450	2358	4962
451	2363	4956
452	2368	4951
453	2373	4945
454	2378	4939
455	2384	4935
456	2389	4929
457	2394	4924
458	2399	4919
459	2405	4914
460	2410	4909
461	2415	4905
462	2421	4899
463	2426	4894
464	2431	4888
465	2436	4883
466	2441	4878
467	2447	4873
468	2452	4868
469	2457	4863
470	2463	4858
471	2468	4853
472	2473	4847
473	2478	4842
474	2483	4836
475	2488	4831
476	2494	4826
477	2499	4820
478	2504	4814
479	2509	4809
480	2514	4803
481	2519	4799
482	2524	4793
483	2529	4788
484	2535	4783
485	2540	4777
486	2545	4772
487	2550	4766
488	2555	4761
489	2560	4756
490	2566	4750
491	2571	4746
492	2576	4740
493	2582	4735
494	2587	4730
495	2592	4724
496	2597	4719
497	2602	4714
498	2607	4708
499	2613	4704
500	2618	4699
501	2623	4693
502	2629	4688
503	2634	4683
504	2640	4678
505	2645	4673
506	2650	4668
507	2655	4663
508	2660	4657
509	2666	4652
510	2671	4647
511	2676	4642
512	2681	4636
513	2686	4631
514	2691	4625
515	2697	4621
516	2702	4615
517	2707	4609
518	2712	4604
519	2717	4598
520	2722	4593
521	2728	4589
522	2733	4583
523	2738	4578
524	2743	4573
525	2749	4569
526	2755	4564
527	2760	4558
528	2765	4553
529	2770	4547
530	2775	4542
531	2780	4537
532	2786	4532
533	2791	4526
534	2796	4521
535	2802	4516
536	2807	4511
537	2812	4505
538	2817	4500
539	2822	4495
540	2828	4490
541	2833	4484
542	2838	4479
543	2843	4474
544	2848	4469
545	2853	4463
546	2859	4458
547	2864	4453
548	2869	4447
549	2874	4442
550	2879	4436
551	2885	4432
552	2890	4426
553	2895	4421
554	2900	4415
555	2905	4410
556	2910	4405
557	2915	4399
558	2920	4394
559	2925	4388
560	2930	4383
561	2935	4377
562	2940	4372
563	2945	4366
564	2951	4361
565	2956	4355
