iter	RMSE
0	1.077139183
1	1.013790154
2	0.9581718461
3	0.9112270488
4	0.8680901345
5	0.8318592443
6	0.7952652082
7	0.7665466912
8	0.741536371
9	0.7192409202
10	0.7013922968
11	0.6858158754
12	0.6683311514
13	0.6557082
14	0.6447097106
15	0.6320841081
16	0.6211563393
17	0.6137183178
18	0.6069225475
19	0.6017303792
20	0.5929454477
21	0.5865123948
22	0.5796575052
23	0.5738940243
24	0.5685322439
25	0.5641477313
26	0.5604027432
27	0.5562664802
28	0.5530999298
29	0.5492434677
30	0.5458521315
31	0.5431927218
32	0.5406147376
33	0.5385168975
34	0.5345796209
35	0.5324044051
36	0.5285270376
37	0.5265430567
38	0.5245088431
39	0.5219918494
40	0.5202240561
41	0.5192079481
42	0.517915776
43	0.5161374123
44	0.514281488
45	0.5126819533
46	0.5102894362
47	0.5078681703
48	0.5066210316
49	0.5057254047
50	0.5045323153
51	0.5024370417
52	0.5010465913
53	0.4995882425
54	0.498462075
55	0.4975504219
56	0.496480985
57	0.4954361822
58	0.494937491
59	0.4937556218
60	0.4929503093
61	0.491883571
62	0.4908549069
63	0.4892383204
64	0.488142291
65	0.4870118823
66	0.4854984619
67	0.484938838
68	0.483688892
69	0.482526465
70	0.4812978114
71	0.4804597884
72	0.479826264
73	0.4788627467
74	0.4777711379
75	0.4769455686
76	0.4762881695
77	0.4744821664
78	0.4738849771
79	0.4731377116
80	0.4723950674
81	0.4712446742
82	0.4704042361
83	0.4696340638
84	0.4687717075
85	0.46831342
86	0.4672256517
87	0.4660547633
88	0.465179306
89	0.464275128
90	0.4635138485
91	0.4628063053
92	0.462070405
93	0.4612708846
94	0.4603054128
95	0.4596167088
96	0.4580981717
97	0.4566582806
98	0.4557202474
99	0.4549359577
100	0.4543091958
101	0.4533150663
102	0.4527592375
103	0.4520568559
104	0.4512765139
105	0.450653119
106	0.4496320329
107	0.4490221003
108	0.4483449202
109	0.4477739616
110	0.4470544242
111	0.446459157
112	0.4456518485
113	0.4448410528
114	0.4442958009
115	0.4437766799
116	0.4433893577
117	0.4429188881
118	0.4423595642
119	0.4414845188
120	0.4406168417
121	0.4399548914
122	0.4392043747
123	0.4386906671
124	0.4383684128
125	0.4376992153
126	0.436864305
127	0.4361263378
128	0.4354650048
129	0.4350137025
130	0.4344909222
131	0.433787053
132	0.4332163744
133	0.4329103277
134	0.4323896222
135	0.4313771055
136	0.4308160468
137	0.4303216635
138	0.4298902468
139	0.4290601946
140	0.4285558114
141	0.4280303029
142	0.4270353
143	0.4262946066
144	0.4256031003
145	0.425277193
146	0.4247689829
147	0.4244071435
148	0.4239368149
149	0.4234901066
150	0.4230228717
151	0.4222968571
152	0.4217493115
153	0.4211451422
154	0.4207681198
155	0.4198773985
156	0.4193461575
157	0.4189912977
158	0.4183808289
159	0.4180168932
160	0.4174913568
161	0.4168908985
162	0.416539247
163	0.4159331999
164	0.4157003323
165	0.415358267
166	0.414729413
167	0.4140011167
168	0.4134096259
169	0.4128083409
170	0.4120908554
171	0.4116055824
172	0.4110774688
173	0.4105605089
174	0.4102551682
175	0.4099338517
176	0.4095605078
177	0.4089730564
178	0.4082540022
179	0.4077708773
180	0.4073100092
181	0.4068393712
182	0.4064598126
183	0.406145098
184	0.4055501428
185	0.4051382864
186	0.4048057012
187	0.4043166174
188	0.4038465546
189	0.4035077058
190	0.403026091
191	0.4026156318
192	0.4021519249
193	0.4017662695
194	0.4014040657
195	0.4010423256
196	0.4005561939
197	0.4000821362
198	0.3995460724
199	0.3990888634
200	0.3985739581
201	0.3982245989
202	0.3979069346
203	0.3976192784
204	0.3972471978
205	0.3966939132
206	0.3964258196
207	0.3958130969
208	0.395464989
209	0.3950095153
210	0.3947646949
211	0.3944141977
212	0.3940219358
213	0.3935726535
214	0.3932042583
215	0.3928901229
216	0.3924899479
217	0.3921390078
218	0.391753712
219	0.3914295532
220	0.3909877291
221	0.3906378941
222	0.3904192328
223	0.3901654046
224	0.3897211759
225	0.3894483398
226	0.3890251493
227	0.3886582755
228	0.3883097092
229	0.3880348062
230	0.3875164715
231	0.386970154
232	0.386561449
233	0.3863534426
234	0.3857711199
235	0.385373377
236	0.3849070223
237	0.3845942083
238	0.3842835041
239	0.3840000121
240	0.383757646
241	0.3833533492
242	0.3829793134
243	0.382614998
244	0.3821896915
245	0.381721268
246	0.3813373252
247	0.3810501123
248	0.3806719078
249	0.3804969575
250	0.3802130763
251	0.3798924614
252	0.3794539804
253	0.378964702
254	0.3785960695
255	0.3784057107
256	0.3781017843
257	0.3778586651
258	0.3775680968
259	0.3771123599
260	0.376851723
261	0.3766153582
262	0.3762845239
263	0.375917341
264	0.375501637
265	0.3751136997
266	0.3747219386
267	0.3743172709
268	0.3739847672
269	0.3734675631
270	0.3731085287
271	0.3726916005
272	0.3725194035
273	0.371971159
274	0.3715430298
275	0.3712315572
276	0.3710072633
277	0.3706381539
278	0.3702219017
279	0.3700069645
280	0.3697196361
281	0.3695135317
282	0.3692133136
283	0.3689014069
284	0.3685978399
285	0.3684444332
286	0.3678448964
287	0.3677304751
288	0.3674637419
289	0.3672416832
290	0.3669273128
291	0.3666836392
292	0.3665782856
293	0.3662884693
294	0.3659661983
295	0.3656931413
296	0.3654143691
297	0.3651086851
298	0.364982909
299	0.3648904228
300	0.3644970362
301	0.3642183905
302	0.3637810485
303	0.3636188462
304	0.36307002
305	0.3627272676
306	0.3622813736
307	0.3619783947
308	0.3616997592
309	0.361470825
310	0.36108093
311	0.3607837264
312	0.3605233692
313	0.3600123719
314	0.3595896207
315	0.3593746065
316	0.3591875191
317	0.3589167218
318	0.3587766655
319	0.3584992697
320	0.3582952268
321	0.3581338586
322	0.3577342278
323	0.3575217784
324	0.3574217343
325	0.3571436018
326	0.3569445056
327	0.3566255948
328	0.3561901128
329	0.3559558138
330	0.3557324206
331	0.3555583523
332	0.3553626015
333	0.3551958856
334	0.3549436672
335	0.3547201857
336	0.3543600345
337	0.3541824415
338	0.3540105786
339	0.3538878393
340	0.353662461
341	0.3534533806
342	0.3531154546
343	0.3528990312
344	0.3523710536
345	0.3521401729
346	0.3518651378
347	0.3515906363
348	0.3514558117
349	0.3511820421
350	0.3507906331
351	0.3505229656
352	0.3503044841
353	0.3501241368
354	0.349883037
355	0.3496133876
356	0.3494231672
357	0.3492197228
358	0.3489297414
359	0.3488141882
360	0.3486721684
361	0.3483657806
362	0.3480363048
363	0.3477060865
364	0.3473722107
365	0.347064504
366	0.346848528
367	0.3465475932
368	0.3462957359
369	0.3459905668
370	0.3456045023
371	0.3453952304
372	0.3451559713
373	0.3449510539
374	0.3447676509
375	0.3445342734
376	0.3442378982
377	0.3440445925
378	0.3438951749
379	0.3436994323
380	0.3434230469
381	0.3431852096
382	0.3429832439
383	0.3427707599
384	0.3423791739
385	0.3421135207
386	0.3417704679
