activity
driving
driving
walking
non-study activity
walking
driving
non-study activity
non-study activity
non-study activity
driving
driving
driving
walking
driving
driving
descending stairs
driving
driving
non-study activity
walking
non-study activity
non-study activity
non-study activity
non-study activity
driving
non-study activity
driving
driving
descending stairs
walking
driving
driving
walking
descending stairs
non-study activity
driving
walking
walking
driving
non-study activity
non-study activity
driving
non-study activity
walking
driving
walking
driving
driving
driving
driving
non-study activity
driving
walking
driving
driving
driving
driving
non-study activity
descending stairs
descending stairs
non-study activity
descending stairs
walking
non-study activity
driving
driving
driving
non-study activity
driving
driving
driving
driving
driving
walking
driving
driving
driving
driving
driving
driving
driving
walking
driving
descending stairs
walking
non-study activity
driving
non-study activity
non-study activity
driving
driving
driving
non-study activity
non-study activity
driving
driving
walking
driving
non-study activity
non-study activity
driving
non-study activity
driving
non-study activity
walking
descending stairs
driving
non-study activity
non-study activity
walking
non-study activity
driving
descending stairs
walking
non-study activity
non-study activity
non-study activity
non-study activity
non-study activity
driving
walking
walking
descending stairs
driving
non-study activity
non-study activity
descending stairs
walking
driving
driving
non-study activity
driving
walking
non-study activity
non-study activity
descending stairs
driving
driving
driving
non-study activity
driving
non-study activity
walking
descending stairs
driving
driving
walking
driving
driving
non-study activity
driving
driving
walking
non-study activity
non-study activity
non-study activity
walking
driving
non-study activity
walking
driving
driving
walking
non-study activity
non-study activity
driving
non-study activity
driving
non-study activity
driving
non-study activity
walking
non-study activity
non-study activity
driving
driving
non-study activity
non-study activity
descending stairs
descending stairs
non-study activity
walking
non-study activity
driving
walking
driving
non-study activity
driving
non-study activity
driving
walking
walking
driving
driving
non-study activity
driving
driving
driving
non-study activity
walking
non-study activity
driving
non-study activity
driving
walking
driving
walking
non-study activity
walking
driving
walking
non-study activity
walking
driving
driving
walking
driving
driving
driving
descending stairs
driving
descending stairs
non-study activity
walking
driving
non-study activity
driving
driving
driving
walking
non-study activity
non-study activity
driving
walking
non-study activity
driving
walking
descending stairs
driving
driving
non-study activity
driving
non-study activity
walking
non-study activity
non-study activity
driving
driving
driving
non-study activity
driving
non-study activity
driving
non-study activity
driving
driving
driving
driving
non-study activity
driving
driving
driving
non-study activity
non-study activity
driving
driving
descending stairs
driving
driving
driving
driving
walking
driving
non-study activity
driving
walking
driving
driving
driving
walking
non-study activity
driving
descending stairs
driving
non-study activity
driving
driving
non-study activity
driving
walking
non-study activity
driving
driving
walking
non-study activity
driving
driving
driving
driving
descending stairs
driving
walking
non-study activity
driving
non-study activity
driving
driving
driving
non-study activity
walking
driving
driving
driving
driving
driving
descending stairs
walking
non-study activity
walking
walking
driving
driving
non-study activity
driving
non-study activity
driving
non-study activity
driving
walking
driving
driving
driving
non-study activity
walking
driving
driving
non-study activity
non-study activity
walking
walking
driving
driving
walking
driving
driving
non-study activity
driving
driving
driving
walking
walking
driving
non-study activity
driving
driving
driving
driving
walking
walking
driving
driving
driving
driving
non-study activity
non-study activity
driving
non-study activity
walking
non-study activity
walking
descending stairs
driving
driving
driving
driving
non-study activity
descending stairs
driving
non-study activity
non-study activity
walking
driving
non-study activity
non-study activity
driving
driving
driving
walking
driving
driving
walking
driving
driving
driving
driving
non-study activity
driving
driving
walking
non-study activity
walking
driving
walking
driving
driving
descending stairs
descending stairs
non-study activity
driving
driving
non-study activity
driving
driving
walking
driving
driving
driving
non-study activity
non-study activity
non-study activity
driving
non-study activity
driving
non-study activity
non-study activity
driving
driving
non-study activity
driving
driving
driving
driving
driving
driving
non-study activity
non-study activity
driving
non-study activity
non-study activity
descending stairs
non-study activity
non-study activity
walking
non-study activity
driving
walking
driving
driving
walking
driving
driving
driving
non-study activity
driving
walking
walking
non-study activity
driving
driving
non-study activity
driving
driving
non-study activity
walking
driving
walking
walking
driving
non-study activity
non-study activity
non-study activity
driving
non-study activity
driving
walking
walking
driving
non-study activity
non-study activity
walking
driving
walking
walking
walking
non-study activity
walking
driving
walking
driving
driving
driving
non-study activity
non-study activity
non-study activity
descending stairs
non-study activity
walking
driving
non-study activity
non-study activity
driving
non-study activity
walking
descending stairs
non-study activity
non-study activity
driving
driving
non-study activity
non-study activity
descending stairs
driving
driving
walking
driving
driving
driving
non-study activity
driving
non-study activity
driving
driving
driving
driving
walking
walking
driving
walking
driving
driving
driving
driving
non-study activity
driving
walking
non-study activity
driving
non-study activity
non-study activity
driving
driving
driving
driving
driving
driving
driving
descending stairs
driving
walking
driving
driving
driving
driving
driving
driving
walking
walking
walking
driving
driving
walking
non-study activity
descending stairs
driving
driving
driving
walking
walking
descending stairs
non-study activity
driving
driving
driving
walking
driving
non-study activity
driving
non-study activity
driving
driving
driving
descending stairs
walking
non-study activity
driving
non-study activity
driving
driving
driving
descending stairs
driving
driving
walking
non-study activity
driving
driving
driving
non-study activity
non-study activity
non-study activity
driving
descending stairs
driving
driving
walking
driving
driving
driving
driving
non-study activity
non-study activity
driving
driving
non-study activity
non-study activity
walking
driving
non-study activity
walking
non-study activity
driving
driving
driving
non-study activity
driving
driving
driving
non-study activity
walking
driving
walking
driving
non-study activity
non-study activity
walking
non-study activity
non-study activity
driving
descending stairs
walking
walking
non-study activity
walking
driving
driving
non-study activity
driving
walking
non-study activity
walking
driving
walking
driving
descending stairs
non-study activity
driving
driving
non-study activity
driving
driving
walking
driving
driving
descending stairs
non-study activity
driving
non-study activity
driving
walking
driving
walking
driving
driving
non-study activity
driving
non-study activity
driving
driving
non-study activity
non-study activity
non-study activity
non-study activity
walking
driving
driving
driving
walking
driving
driving
driving
driving
driving
driving
non-study activity
driving
walking
walking
driving
walking
descending stairs
driving
non-study activity
driving
descending stairs
driving
driving
driving
driving
driving
driving
driving
walking
non-study activity
driving
walking
non-study activity
driving
driving
driving
non-study activity
walking
non-study activity
driving
descending stairs
non-study activity
walking
non-study activity
driving
non-study activity
walking
non-study activity
walking
driving
non-study activity
driving
walking
descending stairs
driving
walking
driving
non-study activity
driving
non-study activity
driving
driving
non-study activity
driving
driving
driving
driving
driving
walking
driving
driving
driving
non-study activity
non-study activity
walking
walking
walking
driving
non-study activity
descending stairs
non-study activity
non-study activity
non-study activity
driving
walking
descending stairs
non-study activity
non-study activity
walking
driving
driving
descending stairs
walking
driving
non-study activity
non-study activity
driving
non-study activity
driving
driving
driving
walking
non-study activity
driving
non-study activity
driving
walking
driving
driving
driving
descending stairs
descending stairs
driving
walking
walking
walking
driving
driving
driving
walking
non-study activity
driving
non-study activity
non-study activity
driving
descending stairs
non-study activity
driving
driving
walking
walking
descending stairs
non-study activity
walking
non-study activity
non-study activity
driving
driving
driving
walking
walking
non-study activity
walking
driving
non-study activity
non-study activity
non-study activity
non-study activity
descending stairs
walking
driving
driving
non-study activity
non-study activity
driving
driving
driving
driving
descending stairs
walking
driving
driving
driving
driving
driving
non-study activity
driving
driving
non-study activity
driving
non-study activity
non-study activity
non-study activity
driving
driving
driving
non-study activity
driving
driving
non-study activity
driving
driving
non-study activity
walking
walking
non-study activity
walking
driving
driving
non-study activity
driving
driving
driving
descending stairs
non-study activity
driving
descending stairs
walking
driving
non-study activity
driving
non-study activity
non-study activity
driving
walking
descending stairs
driving
walking
walking
driving
driving
driving
driving
non-study activity
driving
walking
non-study activity
non-study activity
descending stairs
non-study activity
walking
walking
non-study activity
walking
driving
non-study activity
driving
walking
driving
walking
non-study activity
driving
non-study activity
driving
driving
non-study activity
walking
descending stairs
non-study activity
walking
descending stairs
walking
driving
descending stairs
driving
driving
descending stairs
walking
non-study activity
driving
driving
non-study activity
walking
driving
non-study activity
driving
non-study activity
driving
non-study activity
non-study activity
non-study activity
walking
non-study activity
driving
non-study activity
descending stairs
non-study activity
driving
walking
driving
driving
non-study activity
walking
non-study activity
driving
driving
driving
walking
driving
driving
driving
non-study activity
driving
walking
driving
driving
walking
descending stairs
walking
driving
driving
driving
driving
driving
descending stairs
descending stairs
non-study activity
driving
driving
non-study activity
driving
driving
driving
walking
driving
non-study activity
driving
driving
driving
non-study activity
driving
driving
driving
walking
descending stairs
non-study activity
driving
driving
walking
walking
driving
driving
walking
driving
driving
walking
